Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1759620312,50,,Aggregated,41.400000,0.000000,33,49,53,60,99,190,330,490,2200,3700,3700,3495,0,33,57.654013262578,2.185166988056153,3652.9767499887384,3516.3839771101575
1759620313,50,,Aggregated,43.000000,0.000000,32,49,53,59,98,180,330,480,2200,3700,3700,3542,0,32,57.15341355385081,2.185166988056153,3652.9767499887384,3515.8619424054205
1759620314,50,,Aggregated,43.300000,0.000000,32,49,53,59,98,180,330,480,2200,3700,3700,3598,0,32,56.71588853078762,2.185166988056153,3652.9767499887384,3516.565591995553
1759620315,50,,Aggregated,42.900000,0.000000,31,49,53,59,97,180,330,480,2200,3700,3700,3638,0,31,56.36365200049176,2.185166988056153,3652.9767499887384,3532.962341946124
1759620316,50,,Aggregated,43.700000,0.000000,31,49,53,58,95,180,320,480,2200,3700,3700,3685,0,31,55.98028096545891,2.185166988056153,3652.9767499887384,3540.5880597014925
1759620317,50,,Aggregated,45.000000,0.000000,31,49,53,58,95,170,320,460,2200,3700,3700,3727,0,31,55.671841523414585,2.185166988056153,3652.9767499887384,3545.409444593507
1759620318,50,,Aggregated,45.100000,0.000000,31,49,52,58,94,170,320,460,2200,3700,3700,3764,0,31,55.378770840535786,2.185166988056153,3652.9767499887384,3551.8158873538787
1759620319,50,,Aggregated,44.400000,0.000000,31,49,52,57,93,170,320,450,2200,3700,3700,3821,0,31,54.96426422762066,2.185166988056153,3652.9767499887384,3560.9829887464016
1759620320,50,,Aggregated,45.000000,0.000000,30,48,52,57,92,170,320,450,2200,3700,3700,3873,0,30,54.54101202470964,2.185166988056153,3652.9767499887384,3579.2713658662537
1759620321,50,,Aggregated,45.200000,0.000000,30,48,52,57,90,170,320,450,2200,3700,3700,3904,0,30,54.31711060930225,2.185166988056153,3652.9767499887384,3579.3493852459014
1759620322,50,,Aggregated,47.700000,0.000000,30,48,52,57,89,170,320,450,2200,3700,3700,3961,0,30,54.110990855772734,2.185166988056153,3652.9767499887384,3577.558949760162
1759620323,50,,Aggregated,46.600000,0.000000,30,48,52,56,89,170,320,450,2200,3700,3700,3999,0,30,53.80394799417805,2.185166988056153,3652.9767499887384,3579.509377344336
1759620324,50,,Aggregated,45.400000,0.000000,30,48,52,56,89,160,320,450,1400,3700,3700,4038,0,30,53.5749323483667,2.185166988056153,3652.9767499887384,3581.116889549282
1759620325,50,,Aggregated,46.700000,0.000000,30,48,52,56,88,160,320,450,1400,3700,3700,4085,0,30,53.29860681069105,2.185166988056153,3652.9767499887384,3576.0403916768664
1759620326,50,,Aggregated,45.800000,0.000000,30,48,52,56,88,160,320,440,1400,3700,3700,4116,0,30,53.05211276790447,2.185166988056153,3652.9767499887384,3583.9633138969875
1759620327,50,,Aggregated,43.600000,0.000000,30,48,52,56,87,160,320,440,1400,3700,3700,4182,0,29,52.66215549442931,2.185166988056153,3652.9767499887384,3587.03706360593
